title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Stress/fault controls on the containment and release of overpressured fluids: examples from gold-quartz vein systems in Juneau, Alaska; Victoria, Australia and Otago,  &hellip;|http://www.sciencedirect.com/science/article/pii/S0169136897000231|1998|154|4|8868906801261330016|None|http://scholar.google.com/scholar?cites=8868906801261330016&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=8868906801261330016&hl=en&as_sdt=0,5|None|The brittle carapace overlying a prograding metamorphic belt embraces the transition between a hydrostatically pressured near-surface fluid regime and the near-lithostatic fluid pressures characterising prograde metamorphism at depth, with the lower portion of the 
Orogenic gold deposits: a proposed classification in the context of their crustal distribution and relationship to other gold deposit types|http://www.sciencedirect.com/science/article/pii/S0169136897000127|1998|1265|7|5863873121866679750|None|http://scholar.google.com/scholar?cites=5863873121866679750&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5863873121866679750&hl=en&as_sdt=0,5|None|... 1. Introduction. This thematic issue of Ore Geology Reviews includes a wide variety of paperson a single type of quartz–carbonate lode-gold deposit. ... (1995). Juneau gold belt, S. Alaska,57–53, Permian–mid-Cretaceous, mid-Cret, 70–60 (sill), 60–48 (batholith), mid-Cret, 70 ...
Origin of lode-gold deposits of the Juneau gold belt, southeastern Alaska|http://geology.gsapubs.org/content/16/5/440.short|1988|106|5|12145916376099077813|None|http://scholar.google.com/scholar?cites=12145916376099077813&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12145916376099077813&hl=en&as_sdt=0,5|None|Abstract Mesothermal gold-bearing quartz veins along the Juneau gold belt formed in the early Tertiary from H 2 O-CO 2 (±N 2, H 2 S, CH 4)-rich, low-salinity fluids at temperatures of 200 to 325 C and pressures in excess of 1-1.5 kbar. Isotopically heavy ore-forming fluids, 
Oxygen, hydrogen, and sulfur isotope studies in the Juneau gold belt, southeastern Alaska; constraints on the origin of hydrothermal fluids|http://economicgeology.org/content/86/1/66.short|1991|106|5|7837298573678427443|None|http://scholar.google.com/scholar?cites=7837298573678427443&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=7837298573678427443&hl=en&as_sdt=0,5|None|... JUNEAU Au BELT: O, H, &amp; S STUDIES 67 ... The Reagan and Ibex deposits, imme- diately southof the Alaska-Juneau deposit, also con- tain native silver and pyrargyrite. ... Gold- and silver-bearingtellurides are common within the plutonic-hosted veins of the Berners Bay district (A ...
Fluid inclusion geochemistry of gold-bearing quartz veins of the Juneau gold belt, southeastern Alaska: Implications for ore genesis: Economic Geology  &hellip;|http://www.dggs.alaska.gov/pubs/id/17426|1989|60|0|7490793799326251088|None|http://scholar.google.com/scholar?cites=7490793799326251088&as_sdt=2005&sciodt=0,5&hl=en|None|None|... Goldfarb, RJ, Leach, DL, Rose, SC, and Landis, GP, 1989, Fluid inclusion geochemistry ofgold-bearing quartz veins of the Juneau Gold Belt, southeastern Alaska; implications for oregenesis: Economic Geology, Monograph, 6, p. 363-375. Publication Products. Top of Page.
Genetic links among fluid cycling, vein formation, regional deformation, and plutonism in the Juneau gold belt, southeastern Alaska|http://geology.gsapubs.org/content/22/3/203.short|1994|40|4|12775514829785669871|None|http://scholar.google.com/scholar?cites=12775514829785669871&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12775514829785669871&hl=en&as_sdt=0,5|None|Abstract Gold-bearing quartz vein systems in the Juneau gold belt formed within a 160-km-long by 5-to 8-km-wide zone along the western margin of the Coast Mountains, Alaska. Vein systems are spatially associated with shear zones adjacent to terrane-bounding, mid-
Rapid dewatering of the crust deduced from ages of mesothermal gold deposits|http://scholar.google.com/https://www.researchgate.net/profile/Richard_Goldfarb/publication/246936094_New_evidence_for_widespread_fluid_flow_and_gold_deposition_in_Southeast_Alaska_at_55_Ma/links/00b49523378afeb3b4000000.pdf|1991|116|7|8367621541588627327|http://scholar.google.com/https://www.researchgate.net/profile/Richard_Goldfarb/publication/246936094_New_evidence_for_widespread_fluid_flow_and_gold_deposition_in_Southeast_Alaska_at_55_Ma/links/00b49523378afeb3b4000000.pdf|http://scholar.google.com/scholar?cites=8367621541588627327&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=8367621541588627327&hl=en&as_sdt=0,5|None|... The isotope dates of 56—55 Myr from the Juneau gold belt are believed to, deﬁne the ... r Ourgeochronological results from southeast Alaska clearly show that an episode of considerableﬂuid ... Rather, catastrophic crustal ﬂuid ﬂow and gold genesis along the outboard ﬂank of an ...
Tectonic setting of synorogenic gold deposits of the Pacific Rim|http://www.sciencedirect.com/science/article/pii/S0169136897000188|1998|190|7|17592100156210329331|None|http://scholar.google.com/scholar?cites=17592100156210329331&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=17592100156210329331&hl=en&as_sdt=0,5|None|... Juneau gold belt, SE AK, Berner&#39;s Bay, Eagle River, Juneau, Snettisham, Windham Bay,Alaska–Juneau, Treadwell, Kensington, 6.8 (&gt;5.0), minor, JK flysch of the Gravina belt; Permmetabasalt; Tr phyllite and metagabbro of Taku terrane; mid-K monzodior, 56–53, 100–90 ...
The late Cretaceous Donlin Creek gold deposit, Southwestern Alaska: Controls on epizonal ore formation|http://economicgeology.org/content/99/4/643.short|2004|94|11|759770920512318087|None|http://scholar.google.com/scholar?cites=759770920512318087&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=759770920512318087&hl=en&as_sdt=0,5|None|... Lance D. Miller. Juneau Economic Development Council, 612 W. Willoughby, Juneau, Alaska99801. Dwight ... even larger than that recognized in the present-day configuration of southwesternAlaska. ... these inclusions that seemed to be most characteristic of the gold- and sulfide ...
Geodynamic setting of mesothermal gold deposits: An association with accretionary tectonic regimes|http://geology.gsapubs.org/content/18/9/882.short|1990|196|3|17689360170520372565|None|http://scholar.google.com/scholar?cites=17689360170520372565&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=17689360170520372565&hl=en&as_sdt=0,5|None|... RJ, Leach, DL, Pickthorn, WJ, and Paterson, CJ, 1988, Origin of lode gold deposits of the Juneaugold belt, southeastern Alaska: Geology, v. 16 ... Kontak, DJ, Smith, PK, Chatteijee, AK, Giles, PS,and Reynolds, PH, 1989, 40Ar-39Ar geochronological studies in the Beaver Dam ...
